IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
130.162.61.172,4,3,0.25,241.96,14.23
152.67.143.211,4,4,0.00,250.44,13.96
143.47.235.15,4,4,0.00,244.26,12.56
130.61.11.222,4,4,0.00,240.31,12.40
152.70.174.72,4,4,0.00,268.59,12.33
141.148.241.57,4,4,0.00,236.94,12.00
143.47.189.47,4,4,0.00,266.09,10.93
193.123.58.165,4,4,0.00,243.13,10.90
141.148.226.107,4,4,0.00,264.64,10.71
130.162.243.202,4,4,0.00,241.56,9.92
130.61.23.77,4,4,0.00,264.89,9.61
140.238.158.238,4,4,0.00,212.91,6.07
129.80.26.68,4,4,0.00,213.60,6.01
150.230.34.116,4,4,0.00,167.46,5.63
152.67.233.64,4,4,0.00,174.36,5.46
143.47.184.155,4,4,0.00,285.91,5.13
129.80.123.71,4,3,0.25,213.70,4.68
192.9.158.188,4,3,0.25,156.27,4.11
158.101.208.74,4,4,0.00,271.96,3.45
141.147.27.165,4,4,0.00,277.40,3.25
141.144.204.152,4,4,0.00,288.95,3.25
130.162.189.89,4,4,0.00,235.95,3.09
144.24.188.84,4,4,0.00,271.08,3.09
141.144.199.16,4,4,0.00,242.42,2.97
141.147.100.231,4,4,0.00,245.73,2.86
143.47.244.227,4,4,0.00,267.01,2.56
143.47.237.161,4,4,0.00,239.81,2.50
158.101.211.160,4,4,0.00,238.30,2.47
152.70.59.149,4,4,0.00,255.18,2.47
193.123.36.20,4,4,0.00,295.55,2.42
146.56.45.187,4,4,0.00,98.84,2.42
143.47.184.95,4,4,0.00,251.97,2.41
150.230.112.154,4,4,0.00,269.89,2.38
141.147.106.195,4,4,0.00,246.68,2.31
152.70.164.233,4,4,0.00,267.93,2.16
141.148.237.123,4,4,0.00,275.39,2.09
130.162.227.64,4,2,0.50,253.22,1.96
141.148.225.252,4,4,0.00,283.74,1.89
141.147.4.71,4,4,0.00,268.06,1.83
141.147.7.222,4,4,0.00,241.43,1.83
130.162.165.243,4,4,0.00,262.38,1.70
144.22.252.124,4,4,0.00,336.77,1.63
132.226.209.21,4,4,0.00,285.39,1.40
204.216.218.114,4,4,0.00,277.79,1.28
141.147.37.157,4,3,0.25,272.85,1.27
141.144.197.111,4,4,0.00,249.41,1.25
64.110.98.49,4,2,0.50,441.66,0.77
158.101.15.48,4,3,0.25,182.31,0.76
141.147.72.58,4,4,0.00,286.90,0.50
132.226.7.217,4,3,0.25,121.47,0.47
152.67.198.104,4,3,0.25,134.06,0.42
152.67.222.167,4,1,0.75,145.50,0.30
150.136.169.72,4,4,0.00,222.67,0.24
152.70.248.96,4,4,0.00,74.86,0.08
150.136.240.243,4,4,0.00,227.42,0.07
129.153.126.67,4,4,0.00,189.19,0.07
132.226.168.39,4,4,0.00,163.36,0.07
129.159.130.38,4,4,0.00,260.60,0.06
132.226.6.125,4,4,0.00,121.57,0.06
141.147.184.160,4,4,0.00,125.23,0.05
193.123.69.77,4,4,0.00,232.25,0.05
150.136.61.148,4,4,0.00,217.85,0.04
134.65.59.100,4,4,0.00,248.89,0.04
129.213.136.180,4,4,0.00,225.04,0.04
138.3.222.33,4,3,0.25,119.41,0.02
129.146.220.190,4,4,0.00,179.85,0.02
129.154.59.235,4,2,0.50,136.47,0.02
144.24.78.162,4,3,0.25,127.12,0.01
158.101.148.105,4,2,0.50,120.67,0.01
152.70.166.114,4,4,0.00,262.73,0.00
140.238.37.208,4,3,0.25,114.54,0.00
168.138.13.201,4,4,0.00,318.22,0.00
130.162.239.200,4,4,0.00,235.63,0.00
192.18.159.129,4,4,0.00,213.73,0.00
130.162.184.173,4,1,0.75,263.08,0.00
144.24.162.60,4,4,0.00,285.61,0.00
132.226.1.227,4,3,0.25,117.78,0.00
129.153.119.97,4,3,0.25,171.13,0.00
193.123.238.41,4,3,0.25,175.39,0.00
129.146.111.62,4,3,0.25,181.91,0.00
129.159.47.255,4,4,0.00,175.11,0.00
152.67.249.123,4,4,0.00,166.21,0.00
129.146.243.241,4,4,0.00,180.90,0.00
130.162.246.237,4,3,0.25,246.84,0.00
193.123.62.153,4,3,0.25,252.08,0.00
193.123.32.33,4,3,0.25,254.47,0.00
158.180.231.216,4,4,0.00,284.86,0.00
129.154.46.115,4,3,0.25,285.62,0.00
138.2.75.91,4,3,0.25,451.02,0.00
168.138.191.166,4,3,0.25,565.36,0.00
152.69.219.32,4,3,0.25,588.31,0.00
143.47.242.195,4,4,0.00,244.26,0.00
150.230.221.148,4,2,0.50,130.15,0.00
130.162.183.39,4,4,0.00,278.95,0.00
141.144.253.109,4,4,0.00,252.35,0.00
140.238.88.47,4,4,0.00,252.47,0.00
138.2.10.200,4,4,0.00,117.78,0.00
146.56.46.84,4,4,0.00,84.76,0.00
144.24.83.39,4,2,0.50,134.71,0.00
