IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
154.92.9.17,4,3,0.25,583.91,22.34
154.92.9.133,4,4,0.00,762.23,22.24
154.92.9.6,4,4,0.00,412.56,21.57
103.184.44.114,4,4,0.00,482.99,21.55
154.92.9.198,4,3,0.25,567.31,21.52
103.184.45.207,4,3,0.25,725.83,21.32
154.92.9.101,4,4,0.00,467.33,21.29
103.184.45.169,4,4,0.00,604.23,21.24
103.184.45.9,4,3,0.25,750.43,19.70
103.184.45.103,4,4,0.00,489.08,18.83
103.184.44.113,4,4,0.00,643.28,18.37
103.160.204.49,4,4,0.00,661.75,18.35
103.184.45.214,4,4,0.00,516.59,18.02
154.92.9.20,4,4,0.00,558.59,17.64
103.184.45.19,4,3,0.25,468.23,9.41
103.184.45.193,4,4,0.00,640.22,9.21
154.92.9.66,4,4,0.00,564.63,6.70
154.92.9.184,4,3,0.25,378.49,6.48
103.184.45.181,4,3,0.25,611.22,6.06
154.92.9.61,4,3,0.25,692.79,3.47
103.160.204.42,4,4,0.00,611.23,3.13
154.92.9.27,4,4,0.00,636.82,3.05
103.160.204.211,4,4,0.00,720.68,2.43
103.184.45.71,4,4,0.00,594.54,2.34
103.184.45.200,4,4,0.00,570.53,2.23
154.92.9.206,4,3,0.25,684.89,2.20
154.92.9.1,4,3,0.25,769.29,2.11
103.184.45.144,4,3,0.25,798.65,1.97
103.184.45.103,4,3,0.25,649.50,1.77
103.184.45.213,4,4,0.00,592.82,1.46
103.184.45.47,4,4,0.00,483.24,1.42
154.92.9.91,4,3,0.25,648.53,1.41
103.160.204.85,4,3,0.25,783.23,1.38
103.160.204.230,4,3,0.25,493.70,1.37
103.184.45.71,4,4,0.00,445.52,1.07
154.92.9.104,4,3,0.25,512.80,0.95
103.184.45.178,4,4,0.00,588.21,0.92
103.160.204.37,4,4,0.00,601.20,0.85
103.184.45.162,4,3,0.25,572.20,0.84
103.160.204.144,4,4,0.00,584.11,0.81
154.92.9.97,4,4,0.00,601.98,0.79
154.92.9.21,4,4,0.00,475.64,0.77
154.92.9.253,4,4,0.00,549.15,0.77
154.92.9.121,4,3,0.25,611.48,0.65
154.92.9.2,4,4,0.00,583.65,0.62
154.92.9.14,4,3,0.25,621.93,0.53
103.184.45.253,4,4,0.00,535.02,0.51
154.92.9.205,4,2,0.50,662.38,0.50
154.92.9.78,4,4,0.00,676.46,0.49
154.92.9.135,4,4,0.00,433.31,0.44
154.92.9.49,4,3,0.25,605.43,0.44
103.184.45.66,4,4,0.00,718.30,0.33
103.184.45.194,4,4,0.00,556.83,0.31
154.92.9.25,4,4,0.00,670.71,0.29
154.92.9.117,4,3,0.25,598.35,0.26
103.184.45.48,4,4,0.00,449.50,0.25
103.184.45.239,4,4,0.00,651.35,0.24
103.184.45.108,4,3,0.25,469.62,0.23
154.92.9.166,4,3,0.25,839.80,0.17
103.160.204.244,4,3,0.25,433.32,0.17
154.92.9.130,4,4,0.00,477.70,0.13
103.184.45.237,4,4,0.00,442.90,0.12
103.160.204.8,4,3,0.25,427.58,0.11
103.160.204.167,4,4,0.00,780.64,0.10
154.92.9.239,4,2,0.50,480.36,0.09
154.92.9.233,4,4,0.00,569.28,0.09
156.59.153.120,4,4,0.00,13.75,0.00
