IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
156.251.189.248,4,4,0.00,190.14,16.35
202.91.34.224,4,4,0.00,199.74,8.34
172.247.21.125,4,4,0.00,240.21,1.19
154.64.248.193,4,4,0.00,18.55,0.00
154.12.60.95,4,4,0.00,22.07,0.00
154.64.251.84,4,4,0.00,22.44,0.00
156.251.172.133,4,4,0.00,37.85,0.00
103.20.222.239,4,4,0.00,38.51,0.00
156.251.172.133,4,4,0.00,38.51,0.00
103.20.222.251,4,4,0.00,39.83,0.00
156.251.176.176,4,4,0.00,39.98,0.00
156.251.176.35,4,4,0.00,39.98,0.00
154.88.6.244,4,4,0.00,41.27,0.00
43.229.154.38,4,4,0.00,41.73,0.00
45.205.3.99,4,4,0.00,41.89,0.00
103.103.245.238,4,4,0.00,41.98,0.00
154.88.31.86,4,4,0.00,43.48,0.00
154.88.25.130,4,4,0.00,43.73,0.00
43.229.154.72,4,4,0.00,47.33,0.00
103.20.222.25,4,4,0.00,49.89,0.00
103.234.53.2,4,4,0.00,50.17,0.00
103.20.223.231,4,4,0.00,51.64,0.00
103.234.53.102,4,4,0.00,52.54,0.00
43.229.154.244,4,4,0.00,52.96,0.00
103.20.222.237,4,4,0.00,53.39,0.00
156.251.180.183,4,4,0.00,53.39,0.00
154.198.192.73,4,4,0.00,53.56,0.00
103.20.222.133,4,4,0.00,54.64,0.00
103.20.223.206,4,4,0.00,56.41,0.00
103.20.223.212,4,4,0.00,56.53,0.00
103.103.245.233,4,4,0.00,57.32,0.00
172.247.44.116,4,4,0.00,186.31,0.00
156.251.134.123,4,4,0.00,186.72,0.00
162.209.190.235,4,4,0.00,186.72,0.00
38.143.10.50,4,4,0.00,187.41,0.00
172.247.109.16,4,4,0.00,187.54,0.00
172.247.7.146,4,4,0.00,188.02,0.00
156.251.134.123,4,4,0.00,188.29,0.00
162.209.190.235,4,4,0.00,188.73,0.00
172.247.189.102,4,4,0.00,188.73,0.00
192.151.213.118,4,4,0.00,188.73,0.00
23.224.152.108,4,4,0.00,189.29,0.00
216.38.168.51,4,4,0.00,189.70,0.00
23.224.33.61,4,4,0.00,190.02,0.00
154.12.60.154,4,4,0.00,21.29,0.00
216.38.168.51,4,4,0.00,190.14,0.00
154.12.45.133,4,4,0.00,190.88,0.00
172.247.109.47,4,4,0.00,191.58,0.00
202.91.33.47,4,4,0.00,191.84,0.00
172.247.109.47,4,4,0.00,193.18,0.00
185.194.148.71,4,4,0.00,193.18,0.00
162.209.190.235,4,4,0.00,193.73,0.00
216.38.168.51,4,4,0.00,193.74,0.00
2.59.151.5,4,4,0.00,194.22,0.00
154.64.238.217,4,4,0.00,194.37,0.00
202.91.33.233,4,4,0.00,196.11,0.00
103.94.185.112,4,4,0.00,196.11,0.00
202.91.34.83,4,4,0.00,196.66,0.00
103.99.179.181,4,4,0.00,197.16,0.00
172.247.109.47,4,4,0.00,197.16,0.00
161.129.41.148,4,4,0.00,197.45,0.00
2.56.255.75,4,4,0.00,197.45,0.00
172.247.44.115,4,4,0.00,197.58,0.00
202.91.34.193,4,4,0.00,198.07,0.00
2.56.255.224,4,4,0.00,198.07,0.00
23.224.194.174,4,4,0.00,198.89,0.00
202.91.35.119,4,4,0.00,199.03,0.00
2.59.151.142,4,4,0.00,199.11,0.00
23.224.33.76,4,4,0.00,199.36,0.00
154.64.240.234,4,4,0.00,199.38,0.00
154.64.248.80,4,4,0.00,19.93,0.00
23.224.33.74,4,4,0.00,199.87,0.00
23.224.97.81,4,4,0.00,200.15,0.00
154.64.234.63,4,4,0.00,200.29,0.00
202.91.35.106,4,4,0.00,200.34,0.00
172.247.11.186,4,4,0.00,200.59,0.00
154.64.240.135,4,4,0.00,201.60,0.00
103.99.115.129,4,4,0.00,201.83,0.00
103.99.178.133,4,4,0.00,201.97,0.00
185.201.227.59,4,4,0.00,202.22,0.00
154.64.236.80,4,4,0.00,203.48,0.00
103.99.115.157,4,4,0.00,203.48,0.00
103.94.185.222,4,4,0.00,203.75,0.00
154.12.45.19,4,4,0.00,204.17,0.00
154.64.240.133,4,4,0.00,204.43,0.00
193.9.44.185,4,4,0.00,204.51,0.00
154.64.240.49,4,4,0.00,205.34,0.00
103.99.115.157,4,4,0.00,205.49,0.00
154.64.237.152,4,4,0.00,206.70,0.00
103.99.115.129,4,4,0.00,206.70,0.00
154.64.234.227,4,4,0.00,207.45,0.00
