IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.184.45.220,4,4,0.00,688.80,25.15
103.184.45.144,4,4,0.00,661.74,24.36
103.184.45.202,4,4,0.00,670.05,24.33
103.184.45.45,4,4,0.00,680.03,24.27
103.184.45.60,4,4,0.00,556.20,24.20
103.184.44.65,4,4,0.00,757.06,23.81
103.184.45.196,4,4,0.00,741.92,23.34
103.184.45.51,4,4,0.00,688.36,23.33
103.184.45.9,4,4,0.00,713.84,23.30
103.184.44.83,4,4,0.00,564.42,23.24
103.184.45.175,4,4,0.00,685.57,22.78
103.184.45.227,4,4,0.00,598.68,22.59
103.184.45.240,4,4,0.00,646.43,22.08
103.184.45.62,4,4,0.00,462.33,21.93
103.184.45.2,4,4,0.00,771.01,21.55
103.184.45.65,4,4,0.00,703.67,21.55
103.184.45.237,4,4,0.00,631.06,21.06
103.184.44.76,4,4,0.00,621.85,20.88
103.184.45.46,4,4,0.00,714.42,20.84
103.184.45.207,4,4,0.00,811.66,20.25
103.184.45.158,4,4,0.00,425.00,20.25
103.184.45.184,4,3,0.25,644.19,20.11
103.184.45.251,4,2,0.50,699.12,19.98
103.184.44.197,4,3,0.25,753.49,19.57
103.184.45.189,4,4,0.00,590.79,19.56
103.184.45.180,4,3,0.25,599.23,19.44
103.184.45.43,4,4,0.00,510.40,19.32
103.184.45.148,4,4,0.00,760.78,19.08
103.184.44.53,4,4,0.00,954.72,18.28
103.184.45.6,4,4,0.00,852.44,18.17
103.184.44.87,4,4,0.00,703.40,17.54
103.184.45.171,4,4,0.00,861.23,16.85
103.184.45.125,4,3,0.25,735.04,15.66
103.184.45.20,4,4,0.00,624.59,14.96
103.184.45.55,4,4,0.00,897.00,14.74
103.184.45.121,4,3,0.25,739.39,14.18
103.184.45.87,4,4,0.00,781.24,13.89
103.184.45.108,4,4,0.00,849.83,13.78
103.184.45.190,4,4,0.00,827.39,11.65
103.184.45.66,4,4,0.00,487.53,8.95
103.184.44.135,4,3,0.25,794.47,7.25
103.184.45.15,4,4,0.00,540.93,5.79
103.184.45.118,4,4,0.00,672.35,5.42
103.184.44.114,4,4,0.00,654.03,4.12
103.184.45.19,4,4,0.00,551.78,4.00
103.184.45.48,4,4,0.00,442.34,3.60
103.184.45.206,4,4,0.00,556.31,3.41
103.184.45.174,4,4,0.00,694.40,3.39
103.184.44.20,4,4,0.00,820.27,3.32
103.184.45.81,4,4,0.00,608.16,3.30
103.184.45.212,4,4,0.00,729.53,2.85
103.184.45.47,4,4,0.00,731.32,2.35
103.184.45.147,4,4,0.00,585.73,2.27
103.184.45.61,4,4,0.00,537.14,2.25
103.184.45.103,4,4,0.00,821.36,2.22
103.184.45.213,4,4,0.00,488.38,2.07
103.184.44.100,4,3,0.25,649.56,2.02
103.184.45.164,4,4,0.00,523.87,1.98
103.184.45.74,4,3,0.25,593.63,1.82
103.184.45.209,4,4,0.00,614.95,1.78
103.184.45.181,4,4,0.00,574.52,1.78
103.184.45.252,4,4,0.00,688.03,1.76
103.184.45.168,4,4,0.00,683.45,1.74
103.184.45.59,4,4,0.00,773.68,1.66
103.184.45.111,4,4,0.00,749.45,1.66
103.184.45.105,4,3,0.25,574.78,1.65
103.184.45.224,4,4,0.00,611.74,1.61
103.184.45.244,4,4,0.00,675.04,1.43
103.184.45.33,4,4,0.00,681.10,1.39
103.184.44.106,4,4,0.00,638.69,1.37
103.184.45.77,4,4,0.00,525.08,1.32
103.184.45.97,4,4,0.00,690.97,1.31
103.184.45.146,4,4,0.00,633.90,1.25
103.184.45.5,4,3,0.25,594.89,1.23
103.184.45.247,4,4,0.00,563.63,1.17
103.184.44.221,4,4,0.00,739.76,1.13
103.184.45.71,4,4,0.00,676.82,1.11
103.184.44.73,4,4,0.00,489.60,1.09
103.184.45.223,4,4,0.00,526.46,1.07
103.184.45.221,4,4,0.00,543.56,1.03
103.184.44.63,4,4,0.00,589.70,1.03
103.184.45.150,4,3,0.25,780.40,1.03
103.184.45.88,4,4,0.00,663.55,0.98
103.184.45.107,4,4,0.00,611.32,0.98
103.184.45.34,4,3,0.25,537.26,0.97
103.184.44.61,4,4,0.00,555.55,0.95
103.184.45.70,4,2,0.50,590.34,0.93
103.184.45.249,4,2,0.50,834.36,0.86
103.184.45.73,4,4,0.00,550.69,0.84
103.184.45.162,4,4,0.00,757.05,0.77
103.184.45.193,4,4,0.00,676.69,0.76
103.184.44.56,4,4,0.00,643.11,0.71
103.184.45.201,4,4,0.00,487.75,0.70
103.184.45.12,4,4,0.00,672.47,0.68
103.184.45.218,4,3,0.25,646.76,0.67
