IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
34.41.252.92,4,4,0.00,206.98,5.74
35.247.124.181,4,4,0.00,296.92,0.07
35.197.23.75,4,4,0.00,284.25,0.04
34.123.83.237,4,3,0.25,227.02,0.03
34.96.173.94,4,4,0.00,30.92,0.00
34.150.29.170,4,4,0.00,48.57,0.00
35.194.154.249,4,4,0.00,50.35,0.00
35.241.98.204,4,4,0.00,54.33,0.00
35.220.177.101,4,4,0.00,54.48,0.00
35.220.162.181,4,4,0.00,55.98,0.00
35.229.248.119,4,4,0.00,57.50,0.00
104.199.242.12,4,4,0.00,57.90,0.00
35.194.133.154,4,4,0.00,58.87,0.00
35.241.84.227,4,4,0.00,59.23,0.00
35.194.224.148,4,4,0.00,66.05,0.00
34.81.67.153,4,4,0.00,67.13,0.00
35.201.184.218,4,4,0.00,69.40,0.00
35.187.155.6,4,4,0.00,78.31,0.00
35.221.243.203,4,4,0.00,80.47,0.00
35.240.250.92,4,4,0.00,107.61,0.00
34.126.170.119,4,4,0.00,111.15,0.00
35.201.150.44,4,4,0.00,114.54,0.00
34.124.237.213,4,4,0.00,115.18,0.00
35.187.250.253,4,4,0.00,116.41,0.00
35.187.253.46,4,4,0.00,116.41,0.00
35.220.209.206,4,4,0.00,117.15,0.00
35.220.209.206,4,4,0.00,120.95,0.00
34.146.31.239,4,4,0.00,124.60,0.00
35.240.250.92,4,4,0.00,126.06,0.00
35.240.158.227,4,4,0.00,129.06,0.00
34.84.224.32,4,4,0.00,130.92,0.00
34.146.222.110,4,4,0.00,132.82,0.00
34.85.35.93,4,4,0.00,136.94,0.00
34.97.219.3,4,4,0.00,139.72,0.00
34.97.185.85,4,4,0.00,142.12,0.00
34.146.110.87,4,4,0.00,146.13,0.00
34.97.133.93,4,4,0.00,146.89,0.00
23.227.36.55,4,4,0.00,179.95,0.00
34.92.109.70,4,4,0.00,191.41,0.00
34.92.208.141,4,4,0.00,201.27,0.00
35.235.78.92,4,4,0.00,204.15,0.00
34.92.189.85,4,4,0.00,204.96,0.00
34.92.96.80,4,4,0.00,205.45,0.00
34.92.96.80,4,4,0.00,205.58,0.00
35.236.95.37,4,4,0.00,205.58,0.00
104.199.222.173,4,4,0.00,48.39,0.00
34.92.220.191,4,4,0.00,208.65,0.00
34.102.31.231,4,4,0.00,208.90,0.00
34.16.220.112,4,4,0.00,218.45,0.00
35.203.155.112,4,4,0.00,231.58,0.00
104.154.207.74,4,4,0.00,231.63,0.00
35.224.105.80,4,4,0.00,234.86,0.00
35.203.155.112,4,4,0.00,238.95,0.00
35.203.155.112,4,4,0.00,244.92,0.00
34.98.74.12,4,4,0.00,247.29,0.00
34.152.17.28,4,4,0.00,248.21,0.00
34.117.57.189,4,4,0.00,251.36,0.00
34.120.250.64,4,4,0.00,251.36,0.00
34.111.139.255,4,4,0.00,251.81,0.00
35.237.179.242,4,4,0.00,252.17,0.00
35.202.156.94,4,4,0.00,252.97,0.00
34.36.93.18,4,4,0.00,253.15,0.00
34.111.139.255,4,4,0.00,253.57,0.00
34.82.136.156,4,4,0.00,255.65,0.00
35.224.5.180,4,4,0.00,255.90,0.00
34.89.212.141,4,4,0.00,256.43,0.00
34.110.223.103,4,4,0.00,256.96,0.00
34.49.174.20,4,4,0.00,257.00,0.00
34.117.67.45,4,4,0.00,257.35,0.00
34.36.145.51,4,4,0.00,257.36,0.00
34.102.136.14,4,4,0.00,257.57,0.00
34.102.132.105,4,4,0.00,258.24,0.00
34.117.228.168,4,4,0.00,258.32,0.00
35.243.214.115,4,4,0.00,258.35,0.00
34.36.138.69,4,4,0.00,258.62,0.00
34.117.24.37,4,4,0.00,258.87,0.00
35.242.203.49,4,4,0.00,258.93,0.00
34.49.176.130,4,4,0.00,259.12,0.00
34.111.84.95,4,4,0.00,259.37,0.00
34.36.249.34,4,4,0.00,259.87,0.00
34.111.139.255,4,4,0.00,259.98,0.00
34.110.234.205,4,4,0.00,260.24,0.00
34.120.156.139,4,4,0.00,260.49,0.00
34.107.163.151,4,4,0.00,260.75,0.00
35.224.5.180,4,4,0.00,260.78,0.00
34.110.197.197,4,4,0.00,260.90,0.00
35.204.49.67,4,4,0.00,261.02,0.00
34.120.234.162,4,4,0.00,261.41,0.00
35.197.89.54,4,4,0.00,261.73,0.00
34.36.67.32,4,4,0.00,262.00,0.00
34.111.224.14,4,4,0.00,262.42,0.00
34.111.149.171,4,4,0.00,262.77,0.00
34.102.244.36,4,4,0.00,263.02,0.00
34.36.150.108,4,4,0.00,263.07,0.00
34.102.178.76,4,4,0.00,263.10,0.00
34.120.240.36,4,4,0.00,263.66,0.00
34.36.119.183,4,4,0.00,264.75,0.00
34.120.52.14,4,4,0.00,264.90,0.00
34.98.74.12,4,4,0.00,265.31,0.00
34.111.46.255,4,4,0.00,265.94,0.00
34.116.248.202,4,4,0.00,266.52,0.00
34.120.253.108,4,4,0.00,266.60,0.00
34.107.24.193,4,4,0.00,267.23,0.00
34.120.26.131,4,4,0.00,268.80,0.00
34.107.56.152,4,4,0.00,269.06,0.00
34.36.249.34,4,4,0.00,269.18,0.00
34.110.166.194,4,4,0.00,269.52,0.00
34.82.15.1,4,4,0.00,270.01,0.00
34.95.115.48,4,4,0.00,270.01,0.00
35.203.141.114,4,4,0.00,270.24,0.00
34.82.15.1,4,4,0.00,270.26,0.00
35.242.234.255,4,4,0.00,272.35,0.00
34.159.161.59,4,4,0.00,272.37,0.00
34.107.253.20,4,4,0.00,273.06,0.00
34.34.60.140,4,4,0.00,274.82,0.00
34.107.253.20,4,4,0.00,275.01,0.00
34.36.7.194,4,4,0.00,275.62,0.00
35.201.125.159,4,4,0.00,277.41,0.00
35.233.138.204,4,4,0.00,277.65,0.00
34.111.46.255,4,4,0.00,277.99,0.00
34.49.209.99,4,4,0.00,278.09,0.00
34.111.19.108,4,4,0.00,278.61,0.00
34.120.50.67,4,4,0.00,279.97,0.00
34.49.248.234,4,4,0.00,280.36,0.00
34.154.19.192,4,4,0.00,280.48,0.00
34.128.129.33,4,4,0.00,280.60,0.00
34.150.29.170,4,4,0.00,48.06,0.00
34.117.228.168,4,4,0.00,285.37,0.00
34.120.2.119,4,4,0.00,286.16,0.00
34.107.32.127,4,4,0.00,287.51,0.00
34.111.225.219,4,4,0.00,288.39,0.00
35.246.196.53,4,4,0.00,290.48,0.00
35.234.166.10,4,4,0.00,293.15,0.00
34.141.48.153,4,4,0.00,293.48,0.00
34.120.194.58,4,4,0.00,293.52,0.00
34.91.46.220,4,4,0.00,294.94,0.00
34.90.118.138,4,4,0.00,296.68,0.00
34.150.29.224,4,4,0.00,47.78,0.00
34.107.62.129,4,4,0.00,297.30,0.00
34.89.181.100,4,4,0.00,297.54,0.00
34.159.220.32,4,4,0.00,297.56,0.00
34.32.166.10,4,4,0.00,298.21,0.00
35.204.168.206,4,4,0.00,298.45,0.00
34.32.177.94,4,4,0.00,299.09,0.00
34.65.46.86,4,4,0.00,299.59,0.00
34.147.201.233,4,4,0.00,299.79,0.00
34.32.247.206,4,4,0.00,299.98,0.00
34.141.86.6,4,4,0.00,300.44,0.00
34.83.30.243,4,4,0.00,301.43,0.00
35.246.169.93,4,4,0.00,301.68,0.00
34.65.156.126,4,4,0.00,302.06,0.00
34.141.96.31,4,4,0.00,302.20,0.00
35.198.127.87,4,4,0.00,302.37,0.00
34.65.211.114,4,4,0.00,302.56,0.00
34.141.74.187,4,4,0.00,302.74,0.00
35.198.114.188,4,4,0.00,303.14,0.00
34.32.128.0,4,4,0.00,303.24,0.00
34.141.3.83,4,4,0.00,303.68,0.00
34.91.232.224,4,4,0.00,304.41,0.00
34.90.34.118,4,4,0.00,304.77,0.00
34.141.42.50,4,4,0.00,305.01,0.00
34.64.95.195,4,4,0.00,306.02,0.00
34.159.88.104,4,4,0.00,307.00,0.00
34.159.66.92,4,4,0.00,308.39,0.00
34.65.242.44,4,4,0.00,309.19,0.00
34.118.24.29,4,4,0.00,309.53,0.00
34.65.247.6,4,4,0.00,312.11,0.00
34.154.105.234,4,4,0.00,313.48,0.00
34.65.7.63,4,4,0.00,313.70,0.00
34.32.68.122,4,4,0.00,313.79,0.00
34.65.58.228,4,4,0.00,315.06,0.00
34.65.105.162,4,4,0.00,315.19,0.00
34.65.132.70,4,4,0.00,315.79,0.00
34.154.63.139,4,4,0.00,317.51,0.00
34.159.111.249,4,4,0.00,317.51,0.00
34.116.186.105,4,4,0.00,317.81,0.00
34.36.67.32,4,4,0.00,319.23,0.00
34.175.62.53,4,4,0.00,320.70,0.00
34.116.246.53,4,4,0.00,321.52,0.00
34.117.127.80,4,4,0.00,322.84,0.00
34.22.111.228,4,4,0.00,323.41,0.00
34.116.129.250,4,4,0.00,323.84,0.00
34.54.137.130,4,4,0.00,325.08,0.00
34.36.25.167,4,4,0.00,325.41,0.00
34.116.150.39,4,4,0.00,326.33,0.00
34.118.71.178,4,4,0.00,327.61,0.00
34.118.15.10,4,4,0.00,328.27,0.00
34.47.127.16,4,4,0.00,328.66,0.00
34.36.138.69,4,4,0.00,328.87,0.00
34.118.88.83,4,4,0.00,329.38,0.00
34.116.203.238,4,4,0.00,330.06,0.00
34.102.215.46,4,4,0.00,330.28,0.00
34.154.36.10,4,4,0.00,330.89,0.00
34.118.117.182,4,4,0.00,332.53,0.00
34.117.223.38,4,4,0.00,332.66,0.00
34.118.99.125,4,4,0.00,333.74,0.00
34.98.73.172,4,4,0.00,356.90,0.00
34.36.145.51,4,4,0.00,363.90,0.00
34.36.50.22,4,4,0.00,371.93,0.00
34.91.95.211,4,4,0.00,381.59,0.00
34.80.252.27,4,3,0.25,39.57,0.00
34.81.67.153,4,3,0.25,47.93,0.00
34.146.28.182,4,3,0.25,64.50,0.00
34.96.159.111,4,3,0.25,89.00,0.00
35.220.209.206,4,3,0.25,94.99,0.00
34.94.111.112,4,3,0.25,171.79,0.00
104.154.105.168,4,3,0.25,205.42,0.00
35.238.12.126,4,3,0.25,211.12,0.00
35.224.5.180,4,3,0.25,219.30,0.00
35.231.70.143,4,3,0.25,224.55,0.00
35.221.243.84,4,4,0.00,47.47,0.00
104.154.207.74,4,3,0.25,228.70,0.00
34.117.22.163,4,3,0.25,242.28,0.00
34.162.227.19,4,3,0.25,243.76,0.00
34.141.40.116,4,3,0.25,248.53,0.00
35.197.89.54,4,3,0.25,249.63,0.00
35.197.77.218,4,3,0.25,251.00,0.00
35.203.155.112,4,3,0.25,255.52,0.00
34.34.34.56,4,3,0.25,255.53,0.00
34.120.26.114,4,3,0.25,255.85,0.00
35.246.234.195,4,3,0.25,256.28,0.00
34.159.39.216,4,3,0.25,258.92,0.00
35.234.170.74,4,3,0.25,259.08,0.00
34.154.121.195,4,3,0.25,260.49,0.00
34.154.7.77,4,3,0.25,262.16,0.00
34.36.67.32,4,3,0.25,264.66,0.00
34.159.178.66,4,3,0.25,265.53,0.00
34.107.45.230,4,3,0.25,265.94,0.00
34.117.218.228,4,3,0.25,266.07,0.00
34.118.123.164,4,3,0.25,269.41,0.00
34.65.44.52,4,3,0.25,269.94,0.00
34.118.36.21,4,3,0.25,278.15,0.00
34.118.2.146,4,3,0.25,279.39,0.00
34.116.171.47,4,3,0.25,314.33,0.00
34.118.102.6,4,3,0.25,335.13,0.00
34.92.80.155,4,2,0.50,155.38,0.00
35.192.71.137,4,2,0.50,205.35,0.00
35.243.129.153,4,2,0.50,223.18,0.00
34.120.197.200,4,2,0.50,250.58,0.00
34.147.39.213,4,2,0.50,260.65,0.00
