IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
43.129.20.65,4,4,0.00,62.72,0.00
43.129.20.56,4,4,0.00,64.72,0.00
43.129.23.25,4,4,0.00,64.97,0.00
43.129.20.248,4,4,0.00,65.08,0.00
43.129.20.159,4,4,0.00,65.51,0.00
43.129.20.173,4,4,0.00,65.52,0.00
43.129.20.156,4,4,0.00,65.66,0.00
43.129.20.43,4,4,0.00,65.81,0.00
43.129.22.36,4,4,0.00,65.92,0.00
43.129.20.77,4,4,0.00,65.93,0.00
43.129.21.200,4,4,0.00,66.31,0.00
43.129.20.37,4,4,0.00,66.49,0.00
43.129.20.44,4,4,0.00,66.49,0.00
43.129.22.92,4,4,0.00,66.59,0.00
43.129.23.98,4,4,0.00,66.71,0.00
43.129.20.175,4,4,0.00,66.74,0.00
43.129.22.226,4,4,0.00,66.96,0.00
43.129.23.6,4,4,0.00,66.96,0.00
43.129.23.32,4,4,0.00,67.09,0.00
43.129.22.248,4,4,0.00,67.41,0.00
43.129.23.37,4,4,0.00,67.41,0.00
43.129.21.180,4,4,0.00,67.53,0.00
43.129.22.151,4,4,0.00,68.18,0.00
43.129.21.27,4,4,0.00,68.50,0.00
43.129.21.244,4,4,0.00,68.80,0.00
43.129.20.189,4,4,0.00,68.96,0.00
43.129.20.75,4,4,0.00,69.09,0.00
43.129.20.79,4,4,0.00,69.09,0.00
43.129.21.254,4,4,0.00,69.38,0.00
43.129.20.151,4,4,0.00,69.47,0.00
43.129.22.40,4,4,0.00,69.64,0.00
43.129.23.74,4,4,0.00,69.65,0.00
43.129.20.215,4,4,0.00,69.73,0.00
43.129.23.89,4,4,0.00,69.86,0.00
43.129.20.30,4,4,0.00,69.98,0.00
43.129.20.45,4,4,0.00,69.98,0.00
43.129.23.206,4,4,0.00,70.53,0.00
43.129.21.70,4,4,0.00,70.68,0.00
43.129.23.170,4,4,0.00,71.15,0.00
43.129.21.39,4,4,0.00,71.28,0.00
43.129.23.36,4,4,0.00,71.37,0.00
43.129.20.214,4,4,0.00,71.93,0.00
43.129.23.49,4,4,0.00,72.40,0.00
43.129.21.115,4,4,0.00,72.40,0.00
43.129.21.31,4,4,0.00,72.48,0.00
43.129.23.51,4,4,0.00,72.52,0.00
43.129.22.72,4,4,0.00,72.61,0.00
43.129.21.51,4,4,0.00,72.97,0.00
43.129.22.140,4,4,0.00,73.22,0.00
43.129.20.9,4,4,0.00,73.56,0.00
43.129.21.234,4,4,0.00,73.78,0.00
43.129.21.98,4,4,0.00,73.78,0.00
43.129.21.154,4,4,0.00,73.78,0.00
43.129.21.109,4,4,0.00,75.32,0.00
43.129.23.150,4,4,0.00,75.94,0.00
43.129.20.242,4,4,0.00,76.06,0.00
43.129.20.237,4,4,0.00,76.06,0.00
43.129.22.180,4,4,0.00,76.73,0.00
43.129.22.187,4,4,0.00,76.73,0.00
43.129.22.30,4,4,0.00,77.02,0.00
43.129.23.21,4,4,0.00,77.27,0.00
43.129.23.163,4,4,0.00,77.27,0.00
43.129.22.129,4,4,0.00,78.08,0.00
43.129.23.161,4,4,0.00,78.71,0.00
43.129.23.248,4,4,0.00,78.71,0.00
43.129.21.153,4,4,0.00,78.83,0.00
43.129.22.120,4,4,0.00,79.60,0.00
43.129.21.59,4,4,0.00,80.40,0.00
43.129.21.124,4,4,0.00,81.34,0.00
43.129.21.158,4,4,0.00,82.12,0.00
43.129.21.73,4,4,0.00,82.37,0.00
43.129.21.52,4,4,0.00,82.37,0.00
43.129.23.65,4,4,0.00,82.49,0.00
43.129.20.138,4,4,0.00,82.58,0.00
43.129.21.81,4,4,0.00,82.83,0.00
43.129.23.69,4,4,0.00,83.08,0.00
43.129.22.35,4,4,0.00,83.39,0.00
43.129.23.174,4,4,0.00,83.51,0.00
43.129.23.143,4,4,0.00,83.64,0.00
43.129.21.105,4,4,0.00,83.99,0.00
43.129.21.210,4,4,0.00,84.17,0.00
43.129.23.104,4,4,0.00,95.11,0.00
43.129.22.64,4,4,0.00,95.60,0.00
43.129.20.100,4,4,0.00,96.27,0.00
43.129.23.171,4,4,0.00,100.26,0.00
43.129.23.127,4,4,0.00,118.58,0.00
43.129.20.250,4,4,0.00,119.32,0.00
43.129.23.125,4,4,0.00,202.10,0.00
43.129.22.165,4,3,0.25,8.81,0.00
43.129.21.65,4,3,0.25,10.49,0.00
43.129.22.10,4,3,0.25,11.10,0.00
43.129.21.170,4,3,0.25,17.41,0.00
43.129.21.104,4,3,0.25,24.38,0.00
43.129.20.28,4,3,0.25,31.07,0.00
43.129.20.213,4,3,0.25,48.49,0.00
43.129.21.50,4,3,0.25,68.52,0.00
43.129.23.34,4,3,0.25,76.05,0.00
43.129.20.125,4,3,0.25,94.67,0.00
43.129.20.247,4,3,0.25,110.77,0.00
43.129.21.228,4,3,0.25,194.46,0.00
43.129.22.184,4,3,0.25,240.56,0.00
43.129.23.202,4,2,0.50,36.91,0.00
43.129.23.179,4,2,0.50,59.95,0.00
