IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.184.45.51,4,4,0.00,154.46,21.78
103.184.45.9,4,3,0.25,155.48,19.92
129.80.26.68,4,4,0.00,220.53,15.57
103.184.45.196,4,4,0.00,157.84,14.03
152.67.143.211,4,4,0.00,236.98,13.56
103.184.45.144,4,4,0.00,150.73,13.42
130.61.11.222,4,4,0.00,237.92,13.23
103.184.45.45,4,4,0.00,155.34,11.68
193.123.58.165,4,4,0.00,242.67,11.55
192.9.158.188,4,4,0.00,166.26,10.95
130.162.61.172,4,4,0.00,242.67,9.91
150.230.34.116,4,4,0.00,163.21,8.45
103.184.44.83,4,4,0.00,154.46,4.70
103.184.45.220,4,4,0.00,157.15,4.57
103.184.45.202,4,4,0.00,157.15,4.31
103.184.44.65,4,4,0.00,151.14,4.12
143.47.189.47,4,4,0.00,268.70,3.30
130.162.243.202,4,4,0.00,240.91,3.19
103.184.45.60,4,4,0.00,157.15,2.98
143.47.235.15,4,4,0.00,237.43,2.62
143.47.184.155,4,4,0.00,285.32,2.02
141.148.241.57,4,3,0.25,239.89,2.01
141.148.226.107,4,4,0.00,267.37,1.99
129.80.123.71,4,4,0.00,211.09,0.93
130.61.23.77,4,4,0.00,264.03,0.24
140.238.158.238,4,4,0.00,212.95,0.05
152.67.233.64,4,4,0.00,184.92,0.00
