IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.184.45.144,4,4,0.00,149.95,22.12
103.184.45.196,4,3,0.25,153.78,20.00
103.184.45.45,4,4,0.00,156.52,16.22
129.80.26.68,4,4,0.00,220.29,15.99
150.230.34.116,4,3,0.25,160.73,15.32
152.67.143.211,4,4,0.00,236.49,13.47
130.61.11.222,4,3,0.25,236.81,12.44
130.61.23.77,4,4,0.00,263.59,12.37
143.47.189.47,4,4,0.00,282.58,12.02
141.148.241.57,4,4,0.00,239.93,11.59
152.67.233.64,4,4,0.00,169.74,8.64
140.238.158.238,4,4,0.00,215.55,6.09
103.184.45.51,4,4,0.00,153.24,4.78
103.184.44.83,4,4,0.00,152.13,4.69
103.184.44.65,4,4,0.00,152.62,4.01
103.184.45.202,4,4,0.00,155.44,3.94
141.148.226.107,4,4,0.00,265.80,3.67
192.9.158.188,4,4,0.00,169.41,3.61
193.123.58.165,4,4,0.00,237.10,3.45
103.184.45.220,4,4,0.00,155.97,3.44
143.47.235.15,4,4,0.00,233.15,2.85
103.184.45.9,4,4,0.00,155.97,2.79
130.162.243.202,4,4,0.00,243.15,2.43
143.47.184.155,4,3,0.25,271.03,2.40
103.184.45.60,4,4,0.00,159.11,1.91
129.80.123.71,4,4,0.00,210.91,1.66
130.162.61.172,4,3,0.25,250.20,1.09
