IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
34.150.29.170,4,4,0.00,10.78,0.00
34.150.29.224,4,4,0.00,16.02,0.00
34.96.173.94,4,4,0.00,21.30,0.00
34.80.252.27,4,4,0.00,24.34,0.00
34.150.29.170,4,4,0.00,24.52,0.00
35.201.150.44,4,4,0.00,25.48,0.00
35.221.243.203,4,4,0.00,26.59,0.00
35.229.248.119,4,4,0.00,27.57,0.00
35.187.155.6,4,4,0.00,27.72,0.00
35.241.98.204,4,4,0.00,29.97,0.00
34.81.67.153,4,4,0.00,30.02,0.00
35.220.162.181,4,4,0.00,31.57,0.00
104.199.222.173,4,4,0.00,32.37,0.00
104.199.242.12,4,4,0.00,32.57,0.00
35.201.184.218,4,4,0.00,36.23,0.00
35.221.243.84,4,4,0.00,36.83,0.00
35.194.154.249,4,4,0.00,37.33,0.00
34.124.237.213,4,4,0.00,48.42,0.00
35.187.253.46,4,4,0.00,48.74,0.00
35.187.250.253,4,4,0.00,50.18,0.00
35.240.158.227,4,4,0.00,50.57,0.00
35.220.209.206,4,4,0.00,52.62,0.00
34.96.159.111,4,4,0.00,54.36,0.00
35.240.250.92,4,4,0.00,54.87,0.00
35.241.84.227,4,4,0.00,57.83,0.00
35.194.133.154,4,4,0.00,59.96,0.00
34.85.35.93,4,4,0.00,62.78,0.00
34.84.224.32,4,4,0.00,66.02,0.00
34.146.222.110,4,4,0.00,66.10,0.00
34.97.219.3,4,4,0.00,66.96,0.00
34.146.28.182,4,4,0.00,69.99,0.00
35.194.224.148,4,4,0.00,76.37,0.00
34.97.133.93,4,4,0.00,78.15,0.00
34.146.110.87,4,4,0.00,79.12,0.00
35.220.177.101,4,4,0.00,79.51,0.00
34.97.185.85,4,4,0.00,83.15,0.00
35.220.209.206,4,4,0.00,88.70,0.00
35.220.209.206,4,4,0.00,92.70,0.00
23.227.36.55,4,4,0.00,120.45,0.00
34.102.31.231,4,4,0.00,152.78,0.00
34.92.208.141,4,4,0.00,162.15,0.00
34.92.220.191,4,4,0.00,162.46,0.00
34.92.189.85,4,4,0.00,162.71,0.00
34.92.96.80,4,4,0.00,163.25,0.00
34.92.96.80,4,4,0.00,164.37,0.00
35.235.78.92,4,4,0.00,166.35,0.00
34.16.220.112,4,4,0.00,168.73,0.00
35.236.95.37,4,4,0.00,172.88,0.00
34.94.111.112,4,4,0.00,174.08,0.00
34.111.19.108,4,4,0.00,200.84,0.00
34.36.249.34,4,4,0.00,202.58,0.00
104.154.207.74,4,4,0.00,206.84,0.00
34.36.145.51,4,4,0.00,206.92,0.00
34.36.93.18,4,4,0.00,207.72,0.00
34.82.15.1,4,4,0.00,208.67,0.00
34.120.156.139,4,4,0.00,209.01,0.00
34.111.139.255,4,4,0.00,209.37,0.00
34.102.244.36,4,4,0.00,209.83,0.00
