IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
34.98.74.12,4,4,0.00,210.20,0.00
34.82.15.1,4,4,0.00,211.33,0.00
34.111.149.171,4,4,0.00,212.43,0.00
34.111.139.255,4,4,0.00,212.99,0.00
34.120.26.131,4,4,0.00,213.64,0.00
34.117.22.163,4,4,0.00,214.33,0.00
34.98.74.12,4,4,0.00,215.08,0.00
34.110.234.205,4,4,0.00,215.84,0.00
35.231.70.143,4,4,0.00,216.05,0.00
34.111.84.95,4,4,0.00,218.33,0.00
35.224.105.80,4,4,0.00,218.48,0.00
35.224.5.180,4,4,0.00,218.57,0.00
35.197.89.54,4,4,0.00,218.69,0.00
35.224.5.180,4,4,0.00,218.91,0.00
34.49.176.130,4,4,0.00,219.74,0.00
35.197.89.54,4,4,0.00,220.05,0.00
34.123.83.237,4,4,0.00,220.43,0.00
34.111.46.255,4,4,0.00,220.75,0.00
34.36.150.108,4,4,0.00,221.02,0.00
34.83.30.243,4,4,0.00,221.49,0.00
35.238.12.126,4,4,0.00,222.30,0.00
34.49.174.20,4,4,0.00,222.31,0.00
34.102.215.46,4,4,0.00,222.75,0.00
34.117.57.189,4,4,0.00,222.81,0.00
34.117.24.37,4,4,0.00,222.82,0.00
34.120.250.64,4,4,0.00,223.50,0.00
34.162.227.19,4,4,0.00,223.90,0.00
34.36.145.51,4,4,0.00,223.90,0.00
35.197.77.218,4,4,0.00,224.40,0.00
34.36.50.22,4,4,0.00,224.71,0.00
34.36.138.69,4,4,0.00,224.84,0.00
34.120.50.67,4,4,0.00,225.78,0.00
35.243.214.115,4,4,0.00,225.91,0.00
35.247.124.181,4,4,0.00,226.08,0.00
34.54.137.130,4,4,0.00,226.42,0.00
34.102.178.76,4,4,0.00,226.64,0.00
34.98.73.172,4,4,0.00,226.91,0.00
34.36.7.194,4,4,0.00,226.91,0.00
35.237.179.242,4,4,0.00,227.19,0.00
34.49.248.234,4,4,0.00,228.39,0.00
34.120.2.119,4,4,0.00,229.00,0.00
34.49.209.99,4,4,0.00,229.67,0.00
34.102.132.105,4,4,0.00,230.47,0.00
35.224.5.180,4,4,0.00,230.61,0.00
34.120.234.162,4,4,0.00,230.66,0.00
34.36.138.69,4,4,0.00,231.22,0.00
35.197.23.75,4,4,0.00,232.82,0.00
34.36.119.183,4,4,0.00,234.67,0.00
34.111.225.219,4,4,0.00,235.87,0.00
34.36.249.34,4,4,0.00,236.42,0.00
35.203.141.114,4,4,0.00,237.19,0.00
34.110.166.194,4,4,0.00,237.44,0.00
34.95.115.48,4,4,0.00,241.07,0.00
34.117.228.168,4,4,0.00,242.84,0.00
34.117.223.38,4,4,0.00,243.17,0.00
35.233.138.204,4,4,0.00,243.41,0.00
34.159.220.32,4,4,0.00,245.65,0.00
34.120.194.58,4,4,0.00,246.18,0.00
34.102.136.14,4,4,0.00,247.66,0.00
35.234.166.10,4,4,0.00,249.43,0.00
34.107.32.127,4,4,0.00,249.57,0.00
34.120.197.200,4,4,0.00,251.45,0.00
35.204.168.206,4,4,0.00,251.67,0.00
34.110.197.197,4,4,0.00,252.03,0.00
34.141.96.31,4,4,0.00,252.54,0.00
34.141.86.6,4,4,0.00,252.77,0.00
34.36.67.32,4,4,0.00,253.10,0.00
34.128.129.33,4,4,0.00,253.27,0.00
34.117.127.80,4,4,0.00,253.54,0.00
35.198.114.188,4,4,0.00,254.08,0.00
34.107.253.20,4,4,0.00,254.96,0.00
34.107.253.20,4,4,0.00,255.07,0.00
34.159.178.66,4,4,0.00,255.59,0.00
34.32.128.0,4,4,0.00,255.66,0.00
34.159.39.216,4,4,0.00,256.02,0.00
34.65.7.63,4,4,0.00,256.89,0.00
34.120.240.36,4,4,0.00,256.92,0.00
34.147.201.233,4,4,0.00,256.94,0.00
34.117.228.168,4,4,0.00,257.64,0.00
34.111.224.14,4,4,0.00,257.78,0.00
34.91.95.211,4,4,0.00,258.07,0.00
34.141.48.153,4,4,0.00,258.30,0.00
34.32.177.94,4,4,0.00,258.44,0.00
34.22.111.228,4,4,0.00,258.60,0.00
34.90.34.118,4,4,0.00,259.01,0.00
34.91.232.224,4,4,0.00,259.18,0.00
34.159.111.249,4,4,0.00,259.58,0.00
34.32.68.122,4,4,0.00,260.84,0.00
34.47.127.16,4,4,0.00,262.52,0.00
34.154.7.77,4,4,0.00,263.14,0.00
34.154.36.10,4,4,0.00,263.58,0.00
34.65.58.228,4,4,0.00,263.83,0.00
34.141.74.187,4,4,0.00,263.98,0.00
34.175.62.53,4,4,0.00,264.06,0.00
34.154.105.234,4,4,0.00,265.42,0.00
34.116.186.105,4,4,0.00,265.77,0.00
35.246.196.53,4,4,0.00,265.86,0.00
34.107.62.129,4,4,0.00,266.02,0.00
34.118.123.164,4,4,0.00,266.11,0.00
34.118.36.21,4,4,0.00,266.20,0.00
34.118.24.29,4,4,0.00,266.32,0.00
34.89.181.100,4,4,0.00,266.39,0.00
34.65.156.126,4,4,0.00,266.48,0.00
34.65.46.86,4,4,0.00,267.01,0.00
34.107.45.230,4,4,0.00,268.20,0.00
34.116.129.250,4,4,0.00,268.21,0.00
35.234.170.74,4,4,0.00,268.44,0.00
34.90.118.138,4,4,0.00,268.93,0.00
34.91.46.220,4,4,0.00,269.36,0.00
35.246.234.195,4,4,0.00,269.62,0.00
35.246.169.93,4,4,0.00,271.35,0.00
34.32.166.10,4,4,0.00,271.38,0.00
34.32.247.206,4,4,0.00,271.64,0.00
34.65.44.52,4,4,0.00,271.71,0.00
34.116.171.47,4,4,0.00,272.02,0.00
34.147.39.213,4,4,0.00,274.18,0.00
34.65.132.70,4,4,0.00,274.23,0.00
34.118.99.125,4,4,0.00,274.35,0.00
34.141.42.50,4,4,0.00,274.77,0.00
34.159.66.92,4,4,0.00,275.46,0.00
34.65.242.44,4,4,0.00,275.84,0.00
35.198.127.87,4,4,0.00,277.91,0.00
34.65.105.162,4,4,0.00,280.00,0.00
34.116.203.238,4,4,0.00,280.54,0.00
34.118.88.83,4,4,0.00,281.42,0.00
34.118.102.6,4,4,0.00,281.89,0.00
34.65.211.114,4,4,0.00,282.90,0.00
34.154.63.139,4,4,0.00,284.71,0.00
34.36.25.167,4,4,0.00,284.83,0.00
35.246.178.223,4,4,0.00,285.95,0.00
34.116.246.53,4,4,0.00,286.71,0.00
34.118.71.178,4,4,0.00,287.91,0.00
34.118.15.10,4,4,0.00,287.95,0.00
34.141.3.83,4,4,0.00,288.43,0.00
34.65.247.6,4,4,0.00,291.82,0.00
34.120.52.14,4,4,0.00,292.12,0.00
34.159.88.104,4,4,0.00,292.31,0.00
34.116.150.39,4,4,0.00,294.17,0.00
34.64.95.195,4,4,0.00,294.37,0.00
34.118.117.182,4,4,0.00,298.14,0.00
34.117.67.45,4,4,0.00,298.46,0.00
34.34.60.140,4,4,0.00,298.89,0.00
35.201.125.159,4,4,0.00,304.85,0.00
34.120.253.108,4,4,0.00,305.25,0.00
34.111.46.255,4,4,0.00,306.78,0.00
34.111.139.255,4,4,0.00,317.66,0.00
34.107.163.151,4,4,0.00,323.99,0.00
34.110.223.103,4,4,0.00,334.63,0.00
34.81.67.153,4,3,0.25,38.59,0.00
35.240.250.92,4,3,0.25,50.72,0.00
34.126.170.119,4,3,0.25,54.59,0.00
34.146.31.239,4,3,0.25,71.09,0.00
34.92.109.70,4,3,0.25,154.96,0.00
34.92.80.155,4,3,0.25,155.94,0.00
34.117.218.228,4,3,0.25,221.63,0.00
34.152.17.28,4,3,0.25,222.03,0.00
104.154.207.74,4,3,0.25,222.61,0.00
34.120.26.114,4,3,0.25,224.39,0.00
35.203.155.112,4,3,0.25,226.65,0.00
35.202.156.94,4,3,0.25,231.01,0.00
104.154.105.168,4,3,0.25,237.90,0.00
34.82.136.156,4,3,0.25,243.15,0.00
34.107.56.152,4,3,0.25,246.82,0.00
34.159.161.59,4,3,0.25,249.86,0.00
34.107.24.193,4,3,0.25,258.60,0.00
35.242.234.255,4,3,0.25,259.40,0.00
34.154.19.192,4,3,0.25,263.91,0.00
34.154.121.195,4,3,0.25,264.50,0.00
35.243.129.153,4,3,0.25,265.11,0.00
34.118.2.146,4,3,0.25,267.99,0.00
35.204.49.67,4,3,0.25,271.81,0.00
34.36.67.32,4,3,0.25,274.07,0.00
35.242.203.49,4,3,0.25,277.36,0.00
34.141.40.116,4,3,0.25,280.62,0.00
35.192.71.137,4,2,0.50,203.77,0.00
34.41.252.92,4,2,0.50,217.84,0.00
35.203.155.112,4,2,0.50,221.14,0.00
34.34.34.56,4,2,0.50,248.64,0.00
35.203.155.112,4,2,0.50,250.80,0.00
35.203.155.112,4,2,0.50,251.41,0.00
34.36.67.32,4,2,0.50,267.97,0.00
34.116.248.202,4,2,0.50,269.79,0.00
34.89.212.141,4,2,0.50,276.79,0.00
