IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
152.70.248.96,4,4,0.00,81.31,0.00
132.226.7.217,4,4,0.00,121.18,0.00
138.2.10.200,4,4,0.00,123.30,0.00
140.238.37.208,4,4,0.00,126.08,0.00
152.67.233.64,4,4,0.00,155.07,0.00
152.67.249.123,4,4,0.00,158.40,0.00
192.9.158.188,4,4,0.00,166.70,0.00
129.153.119.97,4,4,0.00,169.61,0.00
129.153.126.67,4,4,0.00,176.82,0.00
158.101.15.48,4,4,0.00,179.14,0.00
129.146.220.190,4,4,0.00,179.43,0.00
129.146.111.62,4,4,0.00,181.91,0.00
129.146.243.241,4,4,0.00,185.25,0.00
150.136.61.148,4,4,0.00,216.04,0.00
192.18.159.129,4,4,0.00,217.54,0.00
140.238.158.238,4,4,0.00,218.85,0.00
129.80.123.71,4,4,0.00,220.01,0.00
150.136.240.243,4,4,0.00,223.07,0.00
129.80.26.68,4,4,0.00,224.10,0.00
150.136.169.72,4,4,0.00,229.46,0.00
130.162.61.172,4,4,0.00,237.59,0.00
130.162.239.200,4,4,0.00,240.08,0.00
130.162.227.64,4,4,0.00,240.13,0.00
193.123.58.165,4,4,0.00,241.68,0.00
141.147.7.222,4,4,0.00,244.54,0.00
152.67.143.211,4,4,0.00,245.17,0.00
141.148.241.57,4,4,0.00,246.28,0.00
130.61.11.222,4,4,0.00,246.70,0.00
130.162.246.237,4,4,0.00,246.77,0.00
143.47.242.195,4,4,0.00,247.10,0.00
141.144.199.16,4,4,0.00,247.82,0.00
64.110.98.49,4,4,0.00,247.99,0.00
158.101.211.160,4,4,0.00,249.16,0.00
143.47.235.15,4,4,0.00,249.44,0.00
143.47.184.95,4,4,0.00,250.77,0.00
141.144.253.109,4,4,0.00,251.20,0.00
152.70.59.149,4,4,0.00,254.79,0.00
134.65.59.100,4,4,0.00,256.18,0.00
193.123.62.153,4,4,0.00,258.35,0.00
152.70.166.114,4,4,0.00,258.93,0.00
193.123.32.33,4,4,0.00,261.35,0.00
150.230.112.154,4,4,0.00,263.83,0.00
143.47.244.227,4,4,0.00,264.02,0.00
141.148.237.123,4,4,0.00,265.41,0.00
143.47.189.47,4,4,0.00,265.58,0.00
130.61.23.77,4,4,0.00,265.58,0.00
204.216.218.114,4,4,0.00,266.01,0.00
129.159.130.38,4,4,0.00,267.91,0.00
158.101.208.74,4,4,0.00,268.78,0.00
152.70.164.233,4,4,0.00,269.14,0.00
152.70.174.72,4,4,0.00,270.41,0.00
141.147.37.157,4,4,0.00,272.28,0.00
130.162.183.39,4,4,0.00,272.40,0.00
144.24.188.84,4,4,0.00,272.58,0.00
141.148.226.107,4,4,0.00,273.19,0.00
141.147.72.58,4,4,0.00,273.69,0.00
141.147.4.71,4,4,0.00,274.62,0.00
141.148.225.252,4,4,0.00,275.03,0.00
141.147.27.165,4,4,0.00,275.41,0.00
193.123.69.77,4,4,0.00,275.52,0.00
158.180.231.216,4,4,0.00,276.77,0.00
193.123.36.20,4,4,0.00,279.41,0.00
130.61.67.15,4,4,0.00,279.61,0.00
132.226.209.21,4,4,0.00,281.01,0.00
141.144.204.152,4,4,0.00,283.24,0.00
144.24.162.60,4,4,0.00,284.39,0.00
143.47.184.155,4,4,0.00,287.11,0.00
168.138.13.201,4,4,0.00,304.77,0.00
144.22.252.124,4,4,0.00,339.20,0.00
152.69.219.32,4,4,0.00,590.84,0.00
146.56.45.187,4,3,0.25,83.48,0.00
141.147.184.160,4,3,0.25,120.69,0.00
138.3.222.33,4,3,0.25,123.30,0.00
158.101.148.105,4,3,0.25,125.25,0.00
132.226.1.227,4,3,0.25,127.19,0.00
150.230.34.116,4,3,0.25,162.48,0.00
132.226.168.39,4,3,0.25,163.87,0.00
193.123.238.41,4,3,0.25,164.43,0.00
129.159.47.255,4,3,0.25,176.99,0.00
129.213.136.180,4,3,0.25,222.68,0.00
141.147.100.231,4,3,0.25,236.83,0.00
130.162.189.89,4,3,0.25,241.47,0.00
143.47.237.161,4,3,0.25,243.53,0.00
130.162.243.202,4,3,0.25,248.26,0.00
141.147.106.195,4,3,0.25,249.41,0.00
140.238.88.47,4,3,0.25,249.65,0.00
130.162.165.243,4,3,0.25,268.39,0.00
141.144.197.111,4,3,0.25,269.36,0.00
129.154.46.115,4,3,0.25,271.92,0.00
168.138.191.166,4,3,0.25,310.43,0.00
138.2.75.91,4,3,0.25,321.70,0.00
146.56.46.84,4,2,0.50,94.13,0.00
132.226.6.125,4,2,0.50,119.36,0.00
144.24.78.162,4,2,0.50,129.01,0.00
152.67.222.167,4,2,0.50,139.51,0.00
152.67.198.104,4,1,0.75,130.22,0.00
129.154.59.235,4,1,0.75,143.46,0.00
144.24.83.39,4,1,0.75,147.81,0.00
150.230.221.148,4,1,0.75,149.89,0.00
130.162.184.173,4,1,0.75,294.41,0.00
